"facultyName","subjectName","courseLetters","courseNumbers","courseTitle","courseSummary"
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","111","Integrative Biology I","An introduction to functional and developmental biology from molecules to systems, focusing on how organisms integrate different levels of organization in order to live and reproduce. This course covers key topics of biochemistry (metabolism, respiration, photosynthesis), molecular biology (replication, transcription, translation), cell biology (organelles, membranes, cell cycle), physiology (gas exchange, circulation, locomotion) and development (fertilisation, gastrulation, differentiation). Prerequisites: Biology 30 and Chemistry 30. Notes: Credit may be obtained for only one of AUBIO 111 and 130 (2014)."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","112","Integrative Biology II","An introduction to the biology of organisms, focusing on the evolution of biological diversity, including the mechanisms responsible for evolutionary change and the adaptations associated with the evolution of the major groups of organisms. Prerequisites: AUBIO 111 or AUENV 120 or AUGEO 120. Notes: Credit may be obtained for only one of AUBIO 112 and 110 (2014)."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","219","Research Experience in Biology","Research experience in a faculty research project. Normally taken in addition to a full course load after the successful completion of at least *24 but not more than *60 in a program in the Augustana Faculty. Prerequisites: AUBIO 111 and 112 and consent of the Department. Notes: This course is offered on a pass/fail (credit/no-credit) basis. An ""Application for Individual Study"", normally requiring a minimum GPA of 2.5 in Biology, must be completed and approved before registration in the course. Credit may be obtained twice."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","230","Molecular Cell Biology","The composition, structure and function of cell membranes including membrane transport, cell signalling and cell-cell interactions. Protein sorting and cytoskeletal function is integrated with their membrane interactions. The social context of cells is also considered. Prerequisite: AUBIO 111. Corequisites: AUBIO 260; AUCHE 250."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","253","Ecological Interactions","An exploration of basic concepts and methods in ecology and of the relevance of ecological thinking in the life sciences. Emphasis is on interactions at the level of the organism, including physiological and evolutionary perspectives, and on their consequences on the composition and diversity of ecological communities. Prerequisite: AUBIO 110 (2014) or 112."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","260","Principles of Genetics","Mendelian inheritance and its cytological features including the molecular and cellular basis for the transmission of hereditary characteristics. Topics that are emphasized include microbial genetics, cytoplasmic inheritance, linkage and genetic mapping, DNA as genetic material, gene action, and the genetic code. Prerequisite: AUBIO 111."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","274","Microbiology","Introduction to the prokaryotic and eukaryotic members of the microbial world. Microbiological diversity will be examined by comparing cellular morphology, structure and metabolism. Topics include how to grow and study microbes, classification approaches and problems, control of microbial growth, pathogenesis and microbial ecology. Prerequisite: AUBIO 111 and 112."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","280","Biochemistry: Proteins, Enzymes and Energy","The structure and function of proteins and enzymes and the structure, function and metabolism of carbohydrates. The structure and function of lipids, nucleic acids, and amino acids are introduced. The course focuses on how enzymes catalyze the oxidation of carbohydrates and how the cell conserves this energy in a useful chemical form. Prerequisites: AUBIO 230 and AUCHE 250. Notes: Formerly part of AUBIO 380. Credit may be obtained for only one of AUBIO 280 and AUCHE 280."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","315","ADVANCED BIOLOGICAL ANALYSIS","No description available for this course."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","318","Directed Reading I","Supervised library research project. Prerequisites: Third-year standing, *6 in Biology at the 200 level. Notes: Admission to the course normally requires a minimum GPA of 3.0 in Biology. An ""Application for Individual Study"" must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","319","Directed Studies I","Supervised laboratory or field research project. Prerequisites: Third-year standing, *6 in Biology at the 200 level. Notes: Admission to the course normally requires a minimum GPA of 3.0 in Biology. An ""Application for Individual Study"" must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","323","Plant Biology","Comparative survey of the anatomy, morphology, function, life cycles, and evolutionary features of algae and non-vascular and vascular plants. Taxonomic and environmental considerations are also presented. Prerequisite: AUBIO 112. Notes: Credit may be obtained for only one of AUBIO 323 and AUBIO 222 (2014)."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","334","Field Studies in Environmental Science and Ecology","A 3-week field course that provides students an opportunity to develop skills in research and study design in the field of Environmental Science and Ecology. Students will live in a field camp to allow them to fully immerse themselves in their research projects, which could cover the range of ecology, botany, geography, environmental science, and/or environmental studies. Course content also includes instruction in key aspects of conservation biology and resource management. Prerequisites: AUSTA 215 and AUENV 120 or AUGEO 120 and one of AUGEO 218, AUGEO 230, AUENV 252, AUBIO 253. Notes: Credit may be obtained for only one of AUBIO 334, AUENV 334 and AUGEO 334."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","336","Histology","Systematic and sequential consideration of fundamental cytology, the normal histology of the basic tissues, and the embryological development and microscopic organization of the major mammalian organs and organ systems. Emphasis is placed on the light- and electron-microscopic features of cells and tissues with direct correlation of structure and function. Prerequisites: AUBIO 230. Notes: AUBIO 395 is recommended as a pre or corequisite."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","338","Developmental Biology","Development of complex organisms. Emphasis is on the interactions between cells and their environment that determine cell survival, gene activation and deactivation; and how specific cell and tissue structures and functions are selected. Developmental processes common to plants and animals are identified. Prerequisites: AUBIO 230 and 260; one of AUBIO 222 (2014), 294 (2014), 295 (2014), 323, 394, or 395; and third year standing."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","350","Conservation Theory and Biodiversity in Tropical Systems","Introduction to the basic concepts of conservation biology. The scope of conservation biology and levels of biodiversity are explored, as are aspects of tropical ecology related to conservation. Prerequisite: One of AUBIO 253, 294, or 295, and consent of the instructor(s) based on successful completion of the selection process. Note: This course is intended to be taken in sequence with AUBIO 459 or AUENV 459. Credit may be obtained for only one of AUBIO 350, 450, AUENV 350, 450."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","351","Biogeography","Analysis of the spatial patterns of biotic systems and species. The course examines their past and present distribution patterns in the context of biological and ecological processes and human impacts. The course employs several methods of analysis, including geographic information systems. Prerequisite: AUBIO 253. Note: Credit may be obtained for only one of AUBIO 351 and AUGEO 351. Requires payment of additional student instructional support fees. Refer to the Fees Payment Guide in the University Regulations and Information for Students section of the Calendar."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","354","Freshwater Ecology and Management","Introduction to the biological, chemical and physical features of freshwater ecosystems, and how they relate to ecological processes in and adjacent to aquatic systems. The course will examine the role of ecological patterns in lakes, ponds, rivers and streams, with an emphasis on freshwater systems and their management in western Canada. Prerequisite: AUBIO 253. Notes: Credit may be obtained for only one of AUBIO 354, AUENV 354, and AUGEO 354. The course requires participation in a field trip. Requires payment of additional student instructional support fees. Refer to the Fees Payment Guide in the University Regulations and Information for Students section of the Calendar."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","355","Ecological Dynamics","Addresses ecological processes at different spatial scales. Includes demography, population and meta-population dynamics of plants and animals across a broad range of ecosystems, community ecology and ecosystem functioning. Prerequisite: AUBIO 253."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","371","Immunology","An introduction to the structure and function of the immune system. Topics will include the generation of B and T cell receptor diversity, antigens and antibodies, clonal selection and expansion, MHC restriction, self tolerance, cytokines and leukocyte trafficking. Discussion of infectious disease, vaccines, and immunity will be used to synthesize these topics into a unified conceptual framework. Prerequisites: AUBIO 274."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","381","Biochemistry: Intermediary Metabolism","Structure, function, and metabolism of carbohydrates, lipids, amino acids, and nucleic acids at the level of the cell and organs. Prerequisites: AUBIO 280 or 380 or AUCHE 280 or 380, and AUCHE 252. Note: Credit may be obtained for only one of AUBIO 381 and AUCHE 381."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","389","Molecular Biology of the Gene","Survey of current knowledge and approaches in the area of structure, expression, and regulation of prokaryote and eukaryote genes. Topics include gene isolation and characterization, gene structure and replication, and transcription and translation processes and their regulation. Recombinant DNA technology and its applications are also introduced. Prerequisite: AUBIO 260."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","390","Animal Behaviour","Introduction to key concepts and methods in animal behaviour. Both mechanistic and evolutionary points of view are considered. The student's understanding of scientific thinking is deepened. Topics include instinct, learning, orientation, communication, mating and territoriality, foraging, and social behaviour. Prerequisite: AUBIO 112."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","394","Comparative Invertebrate Zoology","Functional anatomy and life cycles of the major invertebrate taxa. Prerequisite: AUBIO 112. Notes: Credit may be obtained for only one of AUBIO 394 and AUBIO 294 (2014)."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","395","Vertebrate Form and Function","Study of the structure, function, and diversity of vertebrates. Prerequisite: AUBIO 112. Notes: Credit may be obtained for only one of AUBIO 395 and AUBIO 295 (2014)."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","397","Vertebrate Physiology","Review of the general concepts in animal physiology with an emphasis on structure and function and their adaptive significance to the animal in its environment. Physical, chemical, and functional aspects of animal cells and cardiovascular, respiratory, digestive, osmoregulatory, endocrine, and nervous systems are considered. Bioelectric and contractility phenomena are also included. Prerequisites: AUBIO 230. Note: AUBIO 395 is recommended as a pre or corequisite."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","411","History and Theory of Biology","Overview of historical progression in the biological sciences and their associated development in relation to prevailing philosophical, social, and cultural contexts. Prerequisites: AUBIO 260; one of AUBIO 338, 438: one of AUBIO 323, 394, 395; fourth-year standing. Note: Credit may be obtained for only one of AUBIO 411 and AUBIO 311."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","413","Advanced Topics in Evolutionary Ecology","In-depth study of evolutionary processes in natural populations of plants and animals. Selected topics for lectures and seminars address contemporary questions about natural selection, adaptation, speciation, biogeography and the evolution of interaction among species. Prerequisites: AUBIO 253 and *3 of AUBIO at the 300 level or a cross-listed AUENV or AUGEO equivalent."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","418","Directed Reading II","Supervised library research project. Prerequisites: Third-year standing, *6 in Biology at the 200 level. Notes: Admission to the course normally requires a minimum GPA of 3.0 in Biology. An ""Application for Individual Study"" must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","419","Directed Studies II","Supervised laboratory or field research project. Prerequisites: Consent of the instructor. Notes: Admission to the course normally requires a minimum GPA of 3.0 in Biology. An ""Application for Individual Study"" must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","438","Evolutionary Development Biology","Comparative study of the developmental processes of different organisms in an attempt to determine their ancestral relationships and how developmental processes evolved. Topics include the origin and evolution of embryonic development; how modifications of development and developmental processes lead to the production of novel features; the role of developmental plasticity in evolution; the origin of biodiversity; and the developmental basis of homology. Prerequisites: AUBIO 338 or 389."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","459","Field Studies in Tropical Ecology and Conservation","Field course that addresses problems of biodiversity and conservation in tropical environments. The student participates in field workshops, and designs and conducts their own field project to answer questions related to ecological and biological conservation. Prerequisite: AUBIO 350 or AUENV 350, and consent of the instructors based on successful completion of the selection process. Notes: Credit may be obtained for only one of AUBIO 459 and AUENV 459. Students who have received credit for AUBIO 359 or AUENV 359 may enrol in AUBIO 459 or AUENV 459 in a subsequent year based on successful completion of the selection process. Requires payment of additional student instructional support fees. Refer to the Fees Payment Guide in the University Regulations and Information for Students section of the Calendar."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","475","Pathogenic Mechanisms of Microorganisms","Examination of the pathogenic mechanisms used by bacteria, fungi, and protists that cause human diseases. Pathogens will be compared with a focus on the method of entry, colonization and invasion of host tissue used by various microbes and the microbial factors required to cause infection and disease. Epidemiological approaches, antimicrobials and antibiotic resistance will also be presented. Prerequisites: AUBIO 274."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","485","Selected Topics in Biochemistry","In-depth examination of biochemistry. Prerequisites: Fourth-year standing in the Biology program; AUBIO 381 or AUCHE 381; and an additional *3 of AUBIO at the 300-level. Note: Credit may only be obtained for one of AUBIO 485 and AUCHE 485."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","110","General Chemistry I","A general introduction to chemistry. Topics include atomic structure; bonding and bonding theories; periodic trends; states of matter and intermolecular forces; and chemical kinetics. Prerequisites: Chemistry 30 and Mathematics 30-1."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","112","General Chemistry II","Continuation of AUCHE 110. Topics include thermodynamics, free energy, equilibria, acid-base chemistry, buffers, oxidation-reduction reactions, electrochemistry, and nuclear chemistry. Prerequisite: AUCHE 110."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","220","Analytical Chemistry","Theoretical and practical aspects of chemical analysis. Topics include gravimetry, titrimetry, separations, acid-base equilibria, chromatography, and spectrophotometry.  Examples emphasize the utility and limitations of analytical techniques. Prerequisite: AUCHE 112. Recommended corequisite: AUMAT 110 or 111 or 116."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","222","Instrumental Analysis","Study of the theory and practice of instrumental methods of analysis. Topics include atomic absorption and emission spectroscopy, fluorometry, liquid and gas chromatography, physical separations, and electrochemical methods. Examples include the analysis of chemicals with environmental importance. Prerequisite: AUCHE 220.  Recommended  corequisite: AUMAT 110 or 111 or 116."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","230","Inorganic Chemistry I","Electronic structure of atoms, bonding and molecular structure, ionic bonding, symmetry and point groups, introduction to spectroscopy; infrared and Raman spectroscopy, uv-visible spectroscopy; chemistry of hydrogen, boron hydrides, cyclic boron-nitrogen, phosphorus-nitrogen, and sulfur-nitrogen compounds. Prerequisite: AUCHE 112."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","232","Inorganic Chemistry II","Theory and applications of organometallic chemistry, metal carbonyls, metal nitrosyls, dinitrogen complexes, transition metal organometallic compounds, synergic bonding, organometallic catalysts, fluxional molecules; descriptive chemistry of the s- and p-block elements; fullerenes. Prerequisite: AUCHE 230."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","250","Organic Chemistry I","An introduction to bonding and functionality in organic compounds. Mechanistic approach to solving problems will be emphasized, with discussion of the reactions of alkanes, alkenes, alkynes, and alkyl halides. The three-dimensional structure of molecules and the concept of stereochemistry will be examined. Infrared spectroscopy and Nuclear Magnetic Resonance spectroscopy will be applied in both the lecture and the lab. Prerequisite: AUCHE 110; AUCHE 112 is recommended."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","252","Organic Chemistry II","Continuation of AUCHE 250, again emphasizing a mechanist approach. The chemistry of alcohols, conjugated unsaturated systems, aromatic rings, carbonyl-containing compounds, organic reduction-oxidation reactions, and beta-dicarbonyl compounds will be discussed. Carbohydrate chemistry will be introduced as a way to explore many concepts in a biochemical context. Prerequisite: AUCHE 250."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","277","Introduction to Relativity and Quantum Mechanics","Special relativity; photons and matter waves; Bohr atom model; Heisenberg Uncertainty Principle; Schrödinger equation; one-dimensional systems; hydrogen atom; spin; Pauli Exclusion Principle; many-electron atoms; molecules. Prerequisites:  AUCHE 112, AUMAT 112, and AUPHY 120. Corequisite: AUMAT 211 is recommended. Note: Credit may be obtained for only one of AUCHE 277, AUPHY 260."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","279","Physical Chemistry","Study of the principles and concepts of physical chemistry. Topics include the laws of thermodynamics, chemical equilibrium, phase, equilibria, surface chemistry, chemical kinetics and catalysis and spectroscopy and photochemistry. Prerequisites: AUCHE 112 and AUMAT 110 or 111 or 116."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","280","Biochemistry: Proteins, Enzymes and Energy","The structure and function of proteins and enzymes and the structure, function and metabolism of carbohydrates. The structure and function of lipids, nucleic acids, and amino acids are introduced. The course focuses on how enzymes catalyze the oxidation of carbohydrates and how the cell conserves this energy in a useful chemical form. Prerequisites: AUBIO 230 and AUCHE 250. Notes: Formerly part of AUCHE 380. Credit may be obtained for only one of AUBIO 280 and AUCHE 280."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","320","Analytical Chemistry III","Theory and application of nuclear magnetic resonance spectroscopy, infrared spectroscopy and mass spectrometry. Prerequisite: AUCHE 222."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","324","Research Techniques in Analytical Chemistry","An advanced analytical laboratory course utilizing spectroscopic, chromatographic and electroanalytical techniques. The emphasis will be on the application of the instrumental techniques for the analysis and identification of unknown samples. Prerequisites: AUCHE 320."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","330","Transition Metal Chemistry","Ligand field theory, molecular orbital theory, stereochemistry, magnetochemistry, applications of nuclear magnetic resonance to transition metal complexes, isomerism, reaction mechanisms, electronic spectra and ligand field calculations, descriptive chemistry, transition metals in biological systems, the lanthanides and actinides. Prerequisite: AUCHE 230."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","350","Organic Chemistry III","Continuation of the foundation laid in AUCHE 250 and 252, considering in greater depth and breadth various familiar topics (e.g., reactions of carbonyl compounds), and exploring reactions (e.g., free-radical, enantioselective, green chemistry) and techniques (e.g., use of protecting groups) and investigating classes of compounds (e.g., heterocycles) barely touched upon previously. The laboratory work illustrates and expands upon lecture material, and provides practice in spectroscopic and chromatographic techniques. Prerequisite: AUCHE 252."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","377","Quantum Chemistry II","Continuation of AUCHE 277. Prerequisites: AUMAT 211; one of AUCHE 277, AUPHY 260. Note: Credit may be obtained for only one of AUCHE 377 and AUPHY 360."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","381","Biochemistry: Intermediary Metabolism","Structure, function, and metabolism of carbohydrates, lipids, amino acids, and nucleic acids at the level of cells and organs. Prerequisites: AUBIO 280 or 380 or AUCHE 280 or 380, and AUCHE 252. Note: Credit may be obtained for only one of AUCHE 381 and AUBIO 381."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","390","Senior Project I","A research project on a specific topic in chemistry to be determined jointly by the student and professor. Prerequisite: Consent of instructor. Notes: Admission to AUCHE 390 normally requires a minimum GPA of 3.0 in Chemistry. An ""Application for Individual Study"" must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","392","Senior Project II","A research project on a specific topic in chemistry to be determined jointly by the student and professor. Prerequisite: AUCHE 390. Notes: Admission to AUCHE 392 normally requires a minimum GPA of 3.0 in Chemistry. An ""Application for Individual Study"" must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","397","Directed Reading I","Supervised literature research project. Prerequisite: Third-year standing. Notes: Admission to AUCHE 397 normally requires a minimum GPA of 3.0 in Chemistry. An ""Application for Individual Study"" must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","399","Directed Reading II","Supervised literature research project. Prerequisite: AUCHE 397. Notes: Admission to AUCHE 399 normally requires a minimum GPA of 3.0 in Chemistry. An ""Application for Individual Study"" must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","405","Selected Topics in Chemistry","In-depth examination of selected topics in Chemistry. Prerequisites: *12 of senior Chemistry, at least *3 of which must be in the subject area of the particular selected topics course."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","450","Enzymes and Enzyme Mechanisms","Study of the mechanism of different classes of enzymes along with experimental techniques used in enzymology. Note: AUBIO/AUCHE 280 (Biochemistry Proteins, Enzymes and Energy) is a suggested pre or corequisite."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","485","Selected Topics in Biochemistry","In-depth examination of selected topics in Biochemistry. Prerequisites: Fourth-year standing in Chemistry program; *3 AUCHE 381 or AUBIO 381; and an additional *3 of AUCHE at the 300-level. Note: Credit may only be obtained for one of AUBIO 485 and AUCHE 485."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","490","Advanced Project I","A research project on a specific topic in chemistry to be determined jointly by the student and professor. Prerequisite: AUCHE 390. Notes: Admission to AUCHE 490 normally requires a minimum GPA of 3.0 in Chemistry. An ""Application for Individual Study"" must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","492","Advanced Project II","A research project on a specific topic in chemistry to be determined jointly by the student and professor. Prerequisite: AUCHE 390. Notes: Admission to AUCHE 492 normally requires a minimum GPA of 3.0 in Chemistry. An ""Application for Individual Study"" must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","497","Directed Reading III","Intensive study of a specific area of Chemistry as defined by the student and a supervising instructor. Prerequisites: Fourth-year standing. Notes: Admission to AUCHE 497 normally requires a minimum GPA of 3.0 in Chemistry. An `Application for Individual Study' must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Chemistry","AUCHE","499","Directed Reading IV","Intensive study of a specific area of Chemistry as defined by the student and a supervising instructor. Prerequisites: Fourth-year standing and AUCHE 497. Notes: Admission to AUCHE 499 normally requires a minimum GPA of 3.0 in Chemistry. An 'Application for Individual Study' must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Classical Studies","AUCLA","100","Greek Civilization","A survey of the major contributions of the Greeks to Western civilization in art, architecture, education, literature, philosophy, and politics."
